,F.C.L.a._left.surface_native,F.C.L.a._right.surface_native,F.C.L.p._left.surface_native,F.C.L.p._right.surface_native,F.C.L.r.ant._left.surface_native,F.C.L.r.ant._right.surface_native,F.C.L.r.asc._left.surface_native,F.C.L.r.asc._right.surface_native,F.C.L.r.diag._left.surface_native,F.C.L.r.diag._right.surface_native,F.C.L.r.retroC.tr._left.surface_native,F.C.L.r.retroC.tr._right.surface_native,F.C.L.r.sc.ant._left.surface_native,F.C.L.r.sc.ant._right.surface_native,F.C.L.r.sc.post._left.surface_native,F.C.L.r.sc.post._right.surface_native,F.C.M.ant._left.surface_native,F.C.M.ant._right.surface_native,F.C.M.post._left.surface_native,F.C.M.post._right.surface_native,F.Cal.ant..Sc.Cal._left.surface_native,F.Cal.ant..Sc.Cal._right.surface_native,F.Coll._left.surface_native,F.Coll._right.surface_native,F.I.P.Po.C.inf._left.surface_native,F.I.P.Po.C.inf._right.surface_native,F.I.P._left.surface_native,F.I.P._right.surface_native,F.I.P.r.int.1_left.surface_native,F.I.P.r.int.1_right.surface_native,F.I.P.r.int.2_left.surface_native,F.I.P.r.int.2_right.surface_native,F.P.O._left.surface_native,F.P.O._right.surface_native,INSULA_left.surface_native,INSULA_right.surface_native,OCCIPITAL_left.surface_native,OCCIPITAL_right.surface_native,S.C.LPC._left.surface_native,S.C.LPC._right.surface_native,S.C._left.surface_native,S.C._right.surface_native,S.C.sylvian._left.surface_native,S.C.sylvian._right.surface_native,S.Call._left.surface_native,S.Call._right.surface_native,S.Cu._left.surface_native,S.Cu._right.surface_native,S.F.inf._left.surface_native,S.F.inf._right.surface_native,S.F.inf.ant._left.surface_native,S.F.inf.ant._right.surface_native,S.F.int._left.surface_native,S.F.int._right.surface_native,S.F.inter._left.surface_native,S.F.inter._right.surface_native,S.F.marginal._left.surface_native,S.F.marginal._right.surface_native,S.F.median._left.surface_native,S.F.median._right.surface_native,S.F.orbitaire._left.surface_native,S.F.orbitaire._right.surface_native,S.F.polaire.tr._left.surface_native,S.F.polaire.tr._right.surface_native,S.F.sup._left.surface_native,S.F.sup._right.surface_native,S.GSM._left.surface_native,S.Li.ant._left.surface_native,S.Li.ant._right.surface_native,S.Li.post._left.surface_native,S.Li.post._right.surface_native,S.O.T.lat.ant._left.surface_native,S.O.T.lat.ant._right.surface_native,S.O.T.lat.int._left.surface_native,S.O.T.lat.int._right.surface_native,S.O.T.lat.med._left.surface_native,S.O.T.lat.med._right.surface_native,S.O.T.lat.post._left.surface_native,S.O.T.lat.post._right.surface_native,S.O.p._left.surface_native,S.O.p._right.surface_native,S.Olf._left.surface_native,S.Olf._right.surface_native,S.Or._left.surface_native,S.Or._right.surface_native,S.Pa.int._left.surface_native,S.Pa.int._right.surface_native,S.Pa.sup._left.surface_native,S.Pa.sup._right.surface_native,S.Pa.t._left.surface_native,S.Pa.t._right.surface_native,S.Pe.C.inf._left.surface_native,S.Pe.C.inf._right.surface_native,S.Pe.C.inter._left.surface_native,S.Pe.C.inter._right.surface_native,S.Pe.C.marginal._left.surface_native,S.Pe.C.marginal._right.surface_native,S.Pe.C.median._left.surface_native,S.Pe.C.median._right.surface_native,S.Pe.C.sup._left.surface_native,S.Pe.C.sup._right.surface_native,S.Po.C.sup._left.surface_native,S.Po.C.sup._right.surface_native,S.R.inf._left.surface_native,S.R.inf._right.surface_native,S.Rh._left.surface_native,S.Rh._right.surface_native,S.T.i.ant._left.surface_native,S.T.i.ant._right.surface_native,S.T.i.post._left.surface_native,S.T.i.post._right.surface_native,S.T.pol._left.surface_native,S.T.pol._right.surface_native,S.T.s._left.surface_native,S.T.s._right.surface_native,S.T.s.ter.asc.ant._left.surface_native,S.T.s.ter.asc.ant._right.surface_native,S.T.s.ter.asc.post._left.surface_native,S.T.s.ter.asc.post._right.surface_native,S.p.C._left.surface_native,S.p.C._right.surface_native,S.s.P._left.surface_native,S.s.P._right.surface_native
S.Po.C.sup._right.surface_native,0,0,0,0,0,1,0,0.834784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.983365,0,0.891199,0.806733,0.828024,0,0,0.905407,0,0,0,0,0.93226,0.909795,0,0,0.948694,0.843657,0.920944,0.870236,0,0.731193,0,0,0,0,0,0,0,0.804066,0.608075,0,0,0,0.985745,0,0,0,0,0,0,0,0.784737,0,0,0,0,0.920906,0,0,0,0,0,0,0,0,0,0.892408,0,0,0,0,0,0,0,0.983929,0.586664,0.0876966,0,0,0,0,0,0,0,0,0,0.577373,0,0,0,0,0,0.662096,0.85304,0,0,0,0,0,0,0,0,0,0,0,0,0.985234,0.977378
S.R.inf._left.surface_native,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0.997099,0,0,0,0,0,0.868751,0.999996,0,0,0.827847,0.988651,0,0,0,0,0.962048,0,0,0,0.99811,0.990089,0,0,0,0.720297,0,0,0,0,0,0.509724,0,0,0,0.953765,0.792646,0.991289,0,0,0,0,0.935322,0,0,0,0,0,0,0.837877,0.936784,0,0,0,0,0,0,0,0,0,0.762887,0,0,0,0,0,0.723058,0.692899,0,0,0,0,0.913476,0.985037,0.974974,0,0,0,0,0,0,0.792668,0.480851,0,0,0,0,0,0,0,0.64663,0.962788,0,0.990051,0,0.827057,0.978833,0,0,0,0,0.975679,0,0,0.848251,0.852062
S.R.inf._right.surface_native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.Rh._left.surface_native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.Rh._right.surface_native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.T.i.ant._left.surface_native,0,0,0,0.809168,0,0,0,0,0,0,0.856387,0,0,0,0,0,0,0.994856,0,0,0,0,0,0.975231,0.991547,0.99551,0.991341,0.949331,0,0,0,0.993566,0,0,0,0,0,0,0,0,0.953502,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.962397,0,0,0,0,0,0,0,0.905109,0,0,0,0,0.676686,0.994712,0,0,0,0.749851,0,0,0,0.716569,0.632587,0.977879,0,0,0,0.638316,0,0,0,0.98,0,0,0,0,0,0,0.26743,0.976123,0,0.820509,0.662096,0.64663,0,0,0,0,0,0,0.751059,0,0,0.394853,0.988539,0,0,0,0.968819,0,0,0.747365,0.992851
S.T.i.ant._right.surface_native,0,0,0,0,0,0.105063,0,0.457865,0,0,0,0.967235,0,0,0,0,0,0.814787,0,0,0,0,0,0,0.642785,0.959034,0.89713,0,0,0,0,0,0,0,0,0,0.991669,0.995538,0.842261,0,0,0,0,0.981394,0,0,0,0,0,0,0,0,0.576157,0.978777,0,0,0,0,0.985528,0.858511,0,0,0,0,0,0.772707,0,0,0,0,0,0.642054,0,0,0,0,0,0,0,0,0,0.905525,0,0,0.880586,0,0,0.580678,0,0,0,0,0,0,0,0,0,0,0.315122,0,0,0,0.85304,0.962788,0,0,0,0,0,0,0,0,0.973073,0,0,0,0,0,0,0,0.793266,0,0
S.T.i.post._left.surface_native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.T.i.post._right.surface_native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.935124,0,0.873374,0.98,0.105843,0.979703,0.981484,0,0,1,0,0,0,0,0,0,0.715699,0,0.983587,0,0.840016,0.326073,0,0.854771,0,0,0,0,0,0,0.416125,0.636335,0,0,0,0,0,0.914585,0,0,0,0,0,0,0,0.631898,0,0,0,0,0,0.992725,0,0,0,0.963021,0,0,0,0.999155,0.960593,0.0540847,0,0,0,0,0,0.602407,0,0.1098,0,0,0,0,0,0,0,0.97839,0,0,0,0.990051,0,0,0,0.751059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.T.pol._left.surface_native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.T.pol._right.surface_native,0,0,0,0,0,0.480517,0,0,0,0,0,0.797791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.838941,0.907975,0,0,0,0.776924,0,0.98464,0,0,0.898692,0,0,0,0,0.965756,0,0,0,0.541049,0,0,0.96186,0,0,0,0,0,0,0,0,0,0,0.742916,0,0,0,0,0,0.98,0,0,0,0,0,0.971611,0.977363,0,0,0,0,0.0731889,0,0,0,0.899089,0,0.98,0,0,0,0.993839,0,0.590765,0.712405,0.625067,0,0,0,0,0,0,0,0,0,0.825192,0,0.827057,0,0,0,0,0.973073,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.T.s._left.surface_native,0,0,0,0,0,0.767695,0,0,0,0,0,0.925596,0,0,0,0,0,0,0,0,0,0,0,0.474971,0,0.818948,0.785976,0.418084,0,0,0,0.98,0,0.796301,0,0,0,0,0,0,0.789258,0,0,0,0,0,0,0,0,0,0,0,0,0.888781,0.465738,0,0,0,0.972555,0,0,0,0,0,0,0,0,0.867418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.896934,0.976815,0.700513,0,0,0.699645,0,0,0,0,0,0,0,0,0,0,0,0.89936,0,0.393109,0,0.978833,0,0,0,0.394853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.T.s._right.surface_native,0,0,0,0,0,0.991841,0,0.983372,0,0,0,0.893579,0,0,0,0,0,0.974985,0,0,0,0,0,0,0.903044,0.821444,0.955326,0.520219,0.599287,0,0,0,0,0,0,0,0,0.623588,0,0,0.86646,0,0.985639,0.592534,0,0.643756,0,0,0,0,0,0,0,0,0,0,0,0,0.985267,0.906159,0,0,0,0,0,0,0.982042,0,0,0,0,0.990612,0,0,0,0,0,0.972326,0,0,0,0.748748,0.884355,0,0.823513,0,0,0.972259,0,0.773503,0.629491,0,0,0,0,0,0,0,0,0.50048,0,0.485129,0,0,0,0,0,0.988539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.T.s.ter.asc.ant._left.surface_native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.T.s.ter.asc.ant._right.surface_native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.T.s.ter.asc.post._left.surface_native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.T.s.ter.asc.post._right.surface_native,0,0,0,0.972982,0,0.865553,0,0,0,0,0.72708,0,0,0,0,0,0,0,0,0,0,0,0,0,0.949412,0.981844,0.950569,0.712519,0,0,0,0,0,0.975033,0,0,0,0.867065,0.114454,0,0.606065,0,0.920176,0.772538,0,0,0,0,0.982328,0,0,0,0,0.930275,0,0,0,0,0.992579,0,0,0,0,0,0,0.40733,0,0.525738,0,0,0,0,0.816658,0,0,0,0,0,0,0,0,0,0,0.811877,0,0,0,0,0,0.98,0.999974,0.568336,0,0,0,0,0,0,0.976317,0,0,0.948835,0,0.975679,0,0,0,0.968819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.p.C._left.surface_native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.p.C._right.surface_native,0,0,0,0.666397,0,0,0,0.717442,0,0,0,0.984392,0,0,0,0,0,0.367007,0,0,0,0,0.983906,0.899495,0,0.693126,0,0.98,0.805927,0,0,0.799679,0,0.98169,0,0,0,0,0.748781,0,0,0.88686,0.804219,0,0,0,0,0,0.982484,0,0,0,0,0.899259,0.986885,0,0,0,0,0,0,0,0,0,0,0.99999,0.96085,0,0,0,0,0.049778,0,0.982764,0,0,0,0.98875,0,0,0,0.990286,0,0,0.513685,0,0,0,0,0.971758,0,0.863764,0,0,0,0,0,0,0,0.893565,0,0.932288,0,0,0,0,0,0,0.793266,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.s.P._left.surface_native,0,0,0,0,0,0.987308,0,0.965424,0,0,0,0.644735,0,0,0,0,0,0,0,0,0,0,0.989584,0,0,0.984985,0,0,0,0,0,0.989658,0,0.997191,0,0,0,0.93762,0,0,0.96721,0.814471,0.982129,0.0540067,0,0.915101,0,0,0,0,0,0,0,0,0.813528,0,0,0,0.991046,0.910785,0,0,0,0,0,0.65584,0.180898,0,0,0,0,0.99743,0.600823,0.824825,0,0,0,0,0,0,0,0,0.989361,0,0.802896,0,0,0,0,0,0.829442,0.821854,0,0,0,0,0,0,0.963618,0,0,0.964277,0.985234,0.848251,0,0,0,0.747365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.s.P._right.surface_native,0,0,0,0,0,0.98,0,0.82081,0,0,0,0.891002,0,0,0,0,0,0,0,0,0,0,0.98,0.972782,0.813109,0,0,0.957963,0,0,0,0.754004,0,0.981411,0,0,0.987679,0,0.878322,0,0.992603,0.983461,0,0,0,0,0,0,0,0,0,0,0,0,0.931368,0,0,0,0.565437,0,0,0,0,0,0,0,0,0.990161,0,0,0,0.296249,0,0,0,0,0,0.617594,0,0,0,0,0.827143,0,0.699883,0,0,0.856113,0,0,0,0.614907,0,0,0,0,0,0,0.764758,0,0,0.945601,0.977378,0.852062,0,0,0,0.992851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
